report,code,IND
NA,NA,NA
2,38,1
2,42,1
2,11,1
2,43,1
2,45,1
5,46,1
6,6,1
7,8,1
8,46,0
11,6,0
11,8,0
11,43,0
13,11,0
14,43,1
16,39,1
17,12,1
17,45,0
20,43,0
21,39,0
26,12,0
29,6,1
31,6,0
39,39,1
41,39,0
44,43,1
46,34,1
46,35,1
47,47,1
48,48,1
49,39,1
50,12,1
53,34,0
53,35,0
53,47,0
55,43,0
57,45,1
58,12,0
59,39,0
61,42,0
63,50,1
65,50,0
67,6,1
69,12,1
70,6,0
71,12,0
73,38,0
74,49,1
75,34,1
77,48,1
78,33,1
80,48,0
81,49,0
82,45,0
83,12,1
84,34,0
85,8,1
86,45,1
87,32,1
88,46,1
90,8,0
92,6,1
96,6,0
97,12,0
98,45,0
100,6,1
102,39,1
103,6,0
107,49,1
109,51,1
110,34,1
111,12,1
112,49,0
114,34,0
115,19,1
118,19,0
119,52,1
119,35,1
120,53,1
122,20,1
122,19,1
122,34,1
123,54,1
123,55,1
124,32,1
126,12,0
126,56,1
129,33,0
131,20,0
132,19,0
133,52,0
133,53,0
134,53,1
135,39,0
135,32,0
136,34,0
137,51,0
138,57,0
139,53,0
140,55,0
140,54,0
141,35,0
145,34,1
146,35,1
149,33,1
150,43,1
151,52,1
153,55,1
153,37,1
153,57,1
154,33,0
155,55,0
156,37,0
158,54,1
159,12,1
160,32,1
162,60,1
163,51,1
164,12,0
167,58,1
168,55,1
169,60,0
170,33,1
171,39,1
172,61,1
173,33,0
174,52,0
175,39,0
176,12,1
176,35,0
177,58,0
177,61,0
178,57,0
178,43,0
179,34,0
180,32,0
181,6,1
181,55,0
182,12,0
184,51,0
185,6,0
187,34,1
188,49,1
189,61,1
190,59,1
192,62,1
193,63,1
194,39,1
195,33,1
195,43,1
195,32,1
196,52,1
197,55,1
198,12,1
198,59,0
199,39,0
201,63,0
202,32,0
203,12,0
204,35,1
205,45,1
206,61,0
208,48,1
209,64,1
210,62,0
211,57,1
212,55,0
212,35,0
213,33,0
214,49,0
215,12,1
216,43,0
217,45,0
218,58,1
219,12,0
219,48,0
220,48,1
221,34,0
222,51,1
224,52,0
229,61,1
230,64,0
230,58,0
231,64,1
231,65,1
232,43,1
232,57,0
233,65,0
234,64,0
235,64,1
235,12,1
236,61,0
236,48,0
238,61,1
240,45,1
240,66,1
241,12,0
243,37,1
245,61,0
245,45,0
246,36,1
246,43,0
247,66,0
247,37,0
249,39,1
249,67,1
250,67,0
253,61,1
253,34,1
253,35,1
253,33,1
253,68,1
254,39,0
255,37,1
256,64,0
256,33,0
256,35,0
259,37,0
259,45,1
260,66,1
260,9,1
261,37,1
262,64,1
263,9,0
264,66,0
265,43,1
267,45,0
267,36,0
267,43,0
268,36,1
268,52,1
268,68,0
269,39,1
269,61,0
270,52,0
270,34,0
271,44,1
271,37,0
273,36,0
275,44,0
277,48,1
278,37,1
278,48,0
279,63,1
279,69,1
281,65,1
281,61,1
282,70,1
283,43,1
284,36,1
284,55,1
285,12,1
285,34,1
285,71,1
286,70,0
286,69,0
287,45,1
287,62,1
288,52,1
288,48,1
288,33,1
289,38,1
290,72,1
291,72,0
291,58,1
291,60,1
291,73,1
291,35,1
292,62,0
292,43,0
292,36,0
293,62,1
293,45,0
293,55,0
293,35,0
293,34,0
293,33,0
293,52,0
294,55,1
294,35,1
294,43,1
294,52,1
295,36,1
295,12,0
296,61,0
297,44,1
298,41,1
298,74,1
299,55,0
299,35,0
299,36,0
299,44,0
299,52,0
299,57,0
299,58,0
299,73,0
299,43,0
300,13,0
301,42,0
301,74,0
301,41,0
302,62,0
303,37,0
304,38,0
305,61,1
306,72,1
307,55,1
307,71,1
307,35,1
307,33,1
307,58,1
307,37,1
307,52,1
307,42,1
308,34,1
308,33,1
308,36,1
309,61,0
309,57,0
309,58,0
309,65,0
311,36,0
311,71,0
311,33,0
311,44,0
311,52,0
312,37,0
312,64,0
312,12,1
312,75,1
312,38,1
312,42,1
313,43,1
313,55,0
313,35,0
313,60,0
313,72,0
314,34,0
315,36,1
316,75,0
317,52,1
317,58,1
317,42,0
317,39,0
319,36,0
319,43,0
319,58,0
320,12,0
320,52,0
320,42,0
321,33,1
321,35,1
321,36,1
321,52,1
321,57,1
321,43,1
322,76,1
322,55,1
322,34,1
322,37,1
322,58,1
323,45,1
323,52,0
324,33,0
324,73,1
325,55,0
325,35,0
325,34,0
325,36,0
325,58,0
325,37,0
326,52,1
326,77,1
327,12,1
328,57,1
328,76,0
329,36,1
329,37,1
329,58,1
331,58,0
331,57,0
331,52,0
331,37,0
331,36,0
331,43,0
331,73,0
333,45,0
336,6,1
338,6,0
339,12,0
339,77,0
340,43,1
341,53,1
341,18,1
341,17,1
342,19,1
342,56,1
343,12,1
344,43,0
344,34,1
